doi,openalex_id,label_included,pmid,method,titles,abstracts
https://doi.org/10.1007/s11262-017-1464-9,https://openalex.org/W2614004910,1,https://pubmed.ncbi.nlm.nih.gov/28484931,id_retrieval_doi,Complete genome analysis of porcine kobuviruses from the feces of pigs in Japan.,"Porcine kobuviruses (PoKoVs) are ubiquitously distributed in pig populations worldwide and are thought to be enteric viruses in swine. Although PoKoVs have been detected in pigs in Japan, no complete genome data for Japanese PoKoVs are available. In the present study, 24 nearly complete or complete sequences of the PoKoV genome obtained from 10 diarrheic feces and 14 non-diarrheic feces of Japanese pigs were analyzed using a metagenomics approach. Japanese PoKoVs shared 85.2-100% identity with the complete coding nucleotide (nt) sequences and the closest relationship of 85.1-98.3% with PoKoVs from other countries. Twenty of 24 Japanese PoKoVs carried a deletion of 90 nt in the 2B coding region. Phylogenetic tree analyses revealed that PoKoVs were not grouped according to their geographical region of origin and the phylogenetic trees of the L, P1, P2, and P3 genetic regions showed topologies different from each other. Similarity plot analysis using strains from a single farm revealed partially different similarity patterns among strains from identical farm origins, suggesting that recombination events had occurred. These results indicate that various PoKoV strains are prevalent and not restricted geographically on pig farms worldwide and the coexistence of multiple strains leads to recombination events of PoKoVs and contributes to the genetic diversity and evolution of PoKoVs."
https://doi.org/10.3390/pathogens7020046,https://openalex.org/W2799741728,1,https://pubmed.ncbi.nlm.nih.gov/29677111,id_retrieval_doi,"Genome Characterization of a Pathogenic Porcine Rotavirus B Strain Identified in Buryat Republic, Russia in 2015.","An outbreak of enteric disease of unknown etiology with 60% morbidity and 8% mortality in weaning piglets occurred in November 2015 on a farm in Buryat Republic, Russia. Metagenomic sequencing revealed the presence of rotavirus B in feces from diseased piglets while no other pathogens were identified. Clinical disease was reproduced in experimentally infected piglets, yielding the 11 RVB gene segments for strain Buryat15, with an RVB genotype constellation of G12-P[4]-I13-R4-C4-M4-A8-N10-T4-E4-H7. This genotype constellation has also been identified in the United States. While the Buryat15 VP7 protein lacked unique amino acid differences in the predicted neutralizing epitopes compared to the previously published swine RVB G12 strains, this report of RVB in Russian swine increases our epidemiological knowledge on the global prevalence and genetic diversity of RVB."
https://doi.org/10.1128/mbio.00260-11,https://openalex.org/W2098436674,1,https://pubmed.ncbi.nlm.nih.gov/22128350,id_retrieval_doi,Antibiotics in feed induce prophages in swine fecal microbiomes.,"Antibiotics are a cost-effective tool for improving feed efficiency and preventing disease in agricultural animals, but the full scope of their collateral effects is not understood. Antibiotics have been shown to mediate gene transfer by inducing prophages in certain bacterial strains; therefore, one collateral effect could be prophage induction in the gut microbiome at large. Here we used metagenomics to evaluate the effect of two antibiotics in feed (carbadox and ASP250 [chlortetracycline, sulfamethazine, and penicillin]) on swine intestinal phage metagenomes (viromes). We also monitored the bacterial communities using 16S rRNA gene sequencing. ASP250, but not carbadox, caused significant population shifts in both the phage and bacterial communities. Antibiotic resistance genes, such as multidrug resistance efflux pumps, were identified in the viromes, but in-feed antibiotics caused no significant changes in their abundance. The abundance of phage integrase-encoding genes was significantly increased in the viromes of medicated swine over that in the viromes of nonmedicated swine, demonstrating the induction of prophages with antibiotic treatment. Phage-bacterium population dynamics were also examined. We observed a decrease in the relative abundance of Streptococcus bacteria (prey) when Streptococcus phages (predators) were abundant, supporting the ""kill-the-winner"" ecological model of population dynamics in the swine fecal microbiome. The data show that gut ecosystem dynamics are influenced by phages and that prophage induction is a collateral effect of in-feed antibiotics. This study advances our knowledge of the collateral effects of in-feed antibiotics at a time in which the widespread use of ""growth-promoting"" antibiotics in agriculture is under scrutiny. Using comparative metagenomics, we show that prophages are induced by in-feed antibiotics in swine fecal microbiomes and that antibiotic resistance genes were detected in most viromes. This suggests that in-feed antibiotics are contributing to phage-mediated gene transfer, potentially of antibiotic resistance genes, in the swine gut. Additionally, the so-called ""kill-the-winner"" model of phage-bacterium population dynamics has been shown in aquatic ecosystems but met with conflicting evidence in gut ecosystems. The data support the idea that swine fecal Streptococcus bacteria and their phages follow the kill-the-winner model. Understanding the role of phages in gut microbial ecology is an essential component of the antibiotic resistance problem and of developing potential mitigation strategies."
https://doi.org/10.1007/s00705-016-2819-6,https://openalex.org/W2295645555,1,https://pubmed.ncbi.nlm.nih.gov/26965436,id_retrieval_doi,Metagenomic analysis demonstrates the diversity of the fecal virome in asymptomatic pigs in East Africa.,"Pigs harbor a variety of viruses that are closely related to human viruses and are suspected to have zoonotic potential. Little is known about the presence of viruses in smallholder farms where pigs are in close contact with humans and wildlife. This study provides insight into viral communities and the prevalence and characteristics of enteric viral co-infections in smallholder pigs in East Africa. Sequence-independent amplification and high-throughput sequencing were applied to the metagenomics analysis of viruses in feces collected from asymptomatic pigs. A total of 47,213 de novo-assembled contigs were constructed and compared with sequences from the GenBank database. Blastx search results revealed that 1039 contigs (>200 nt) were related to viral sequences in the GenBank database. Of the 1039 contigs, 612 were not assigned to any viral taxa because they had little similarity to known viral genomic or protein sequences, while 427 contigs had a high level of sequence similarity to known viruses and were assigned to viral taxa. The most frequent contigs related to mammalian viruses resembling members of the viral genera Astrovirus, Rotavirus, Bocavirus, Circovirus, and Kobuvirus. Other less abundant contigs were related to members of the genera Sapelovirus, Pasivirus, Posavirus, Teschovirus and Picobirnavirus. This is the first report on the diversity of the fecal virome of pig populations in East Africa. The findings of the present study help to elucidate the etiology of diarrheal diseases in pigs and identify potential zoonotic and emerging viruses in the region. Further investigations are required to compare the incidence of these viruses in healthy and diseased pigs in order to better elucidate their pathogenic role."
https://doi.org/10.3201/eid2312.170703,https://openalex.org/W2767181558,1,,search_title,Porcine Astrovirus Type 3 in Central Nervous System of Swine with Polioencephalomyelitis,No abstract
https://doi.org/10.1371/journal.pone.0150104,https://openalex.org/W2402640512,1,,search_title,Identification of a Divergent Lineage Porcine Pestivirus in Nursing Piglets with Congenital Tremors and Reproduction of Disease following Experimental Inoculation,No abstract
https://doi.org/10.1128/jvi.00534-15,https://openalex.org/W2132901398,1,https://pubmed.ncbi.nlm.nih.gov/25926652,id_retrieval_doi,Identification of a Novel Hepacivirus in Domestic Cattle from Germany.,"Hepatitis C virus (HCV) continues to represent one of the most significant threats to human health. In recent years, HCV-related sequences have been found in bats, rodents, horses, and dogs, indicating a widespread distribution of hepaciviruses among animals. By applying unbiased high-throughput sequencing, a novel virus of the genus Hepacivirus was discovered in a bovine serum sample. De novo assembly yielded a nearly full-length genome coding for a polyprotein of 2,779 amino acids. Phylogenetic analysis confirmed that the virus represents a novel species within the genus Hepacivirus. Viral RNA screening determined that 1.6% (n = 5) of 320 individual animals and 3.2% (n = 5) of 158 investigated cattle herds in Germany were positive for bovine hepacivirus. Repeated reverse transcription-PCR (RT-PCR) analyses of animals from one dairy herd proved that a substantial percentage of cows were infected, with some of them being viremic for over 6 months. Clinical and postmortem examination revealed no signs of disease, including liver damage. Interestingly, quantitative RT-PCR from different organs and tissues, together with the presence of an miR-122 binding site in the viral genome, strongly suggests a liver tropism for bovine hepacivirus, making this novel virus a promising animal model for HCV infections in humans. Livestock animals act as important sources for emerging pathogens. In particular, their large herd size and the existence of multiple ways of direct and food-borne infection routes emphasize their role as virus reservoirs. Apart from the search for novel viruses, detailed characterization of these pathogens is indispensable in the context of risk analysis. Here, we describe the identification of a novel HCV-like virus in cattle. In addition, determination of the prevalence and of the course of infection in cattle herds provides valuable insights into the biology of this novel virus. The results presented here form a basis for future studies targeting viral pathogenesis of bovine hepaciviruses and their potential to establish zoonotic infections."
https://doi.org/10.3201/eid2207.160024,https://openalex.org/W2419267105,1,https://pubmed.ncbi.nlm.nih.gov/27314228,id_retrieval_doi,"Pegivirus Infection in Domestic Pigs, Germany.",No abstract
https://doi.org/10.1007/s00705-017-3443-9,https://openalex.org/W2735829684,1,https://pubmed.ncbi.nlm.nih.gov/28616671,id_retrieval_doi,A novel bovine papillomavirus type in the genus Dyokappapapillomavirus.,"Papillomaviruses are a diverse group of viruses that are known to infect a wide range of animal species. Bovine papillomaviruses (BPVs) are divided into at least 21 genotypes (BPV1 to BPV21),  with most BPV isolates/strains described to date belonging to one of four genera, including Deltapapillomavirus, Xipapillomavirus, Epsilonpapillomavirus and Dyoxipapillomavirus. Here, we describe the identification and genetic characterization of a new BPV type in the genus Dyokappapapillomavirus. A farm in the state of New York, USA, reported chronic cases of vulvovaginitis in Holstein cows in 2016. Biopsies and/or swab samples collected from the vaginal mucosa were subjected to diagnostic investigation. Conventional diagnostic assays yielded negative results, and vaginal swab samples were subjected to viral metagenomic sequencing. Notably, BLAST searches revealed a papillomavirus genome with 7480 bp in length (67% nt sequence identity to BPV16). Additionally, phylogenetic analysis of the L1 gene of the papillomavirus identified here (tentatively named BPV22) revealed that it clusters with members of the genus Dyokappapapillomavirus. Interestingly, the recently identified BPV16, which was detected in fibropapilloma lesions in cattle also clusters within the Dyokappapapillomavirus group. Each virus, however, forms a separate branch in the phylogenetic tree. These results indicate that the putative BPV22 represents the second BPV within the genus Dyokappapapillomavirus."
,https://openalex.org/W1730284809,1,,search_title,No title,No abstract
https://doi.org/10.1111/j.1462-2920.2011.02593.x,https://openalex.org/W1936995073,1,https://pubmed.ncbi.nlm.nih.gov/22004549,id_retrieval_doi,Phage-bacteria relationships and CRISPR elements revealed by a metagenomic survey of the rumen microbiome.,"Viruses are the most abundant biological entities on the planet and play an important role in balancing microbes within an ecosystem and facilitating horizontal gene transfer. Although bacteriophages are abundant in rumen environments, little is known about the types of viruses present or their interaction with the rumen microbiome. We undertook random pyrosequencing of virus-enriched metagenomes (viromes) isolated from bovine rumen fluid and analysed the resulting data using comparative metagenomics. A high level of diversity was observed with up to 28,000 different viral genotypes obtained from each environment. The majority (~78%) of sequences did not match any previously described virus. Prophages outnumbered lytic phages approximately 2:1 with the most abundant bacteriophage and prophage types being associated with members of the dominant rumen phyla (Firmicutes and Proteobacteria). Metabolic profiling based on SEED subsystems revealed an enrichment of sequences with putative functional roles in DNA and protein metabolism, but a surprisingly low proportion of sequences assigned to carbohydrate and amino acid metabolism. We expanded our analysis to include previously described metagenomic data and 14 reference genomes. Clustered regularly interspaced short palindromic repeats (CRISPR) were detected in most of the microbial genomes, suggesting previous interactions between viral and microbial communities."
